id,order_id,merchant_id,sku_id,date,top_cat_id,sub_cat_id,price
654713,82186,1754,981,2021-06-29,7.0,44.0,877000.0
654712,82186,1754,23060,2021-06-29,7.0,44.0,877000.0
654711,82186,1754,1548,2021-06-29,7.0,44.0,877000.0
654714,82186,1754,1969,2021-06-29,7.0,44.0,877000.0
654687,82186,1754,343,2021-06-29,7.0,44.0,312000.0
1058235,129785,1760,1548,2021-10-04,7.0,44.0,3750.0
1866936,231405,1626,2127,2021-12-24,7.0,44.0,1850.0
1866935,231405,1626,343,2021-12-24,7.0,44.0,306000.0
1343282,164702,1440,927,2021-11-05,7.0,44.0,18500.0
971220,119929,1523,981,2021-09-24,7.0,44.0,3750.0
971219,119929,1523,23060,2021-09-24,7.0,44.0,3750.0
970772,119929,1523,927,2021-09-24,7.0,44.0,18500.0
1234931,150035,1523,927,2021-10-25,7.0,44.0,17850.0
1254161,153675,1160,448,2021-10-28,7.0,44.0,210000.0
1583440,195482,1951,927,2021-11-30,7.0,44.0,18500.0
1771843,218950,1951,927,2021-12-16,7.0,44.0,18500.0
1866804,231389,2015,927,2021-12-24,7.0,44.0,18500.0
1158954,141449,2120,927,2021-10-17,7.0,44.0,17850.0
1244420,152588,2120,927,2021-10-27,7.0,44.0,17850.0
1218632,145149,1607,1548,2021-10-24,7.0,44.0,877000.0
1218660,145149,1607,7550,2021-10-24,7.0,44.0,210000.0
822941,101376,1607,343,2021-08-18,7.0,44.0,0.0
857701,105642,1607,343,2021-08-27,7.0,44.0,306000.0
1218633,145149,1607,343,2021-10-24,7.0,44.0,306000.0
857703,105642,1607,1237,2021-08-27,7.0,44.0,210000.0
857705,105642,1607,21260,2021-08-27,7.0,44.0,210000.0
1218661,145149,1607,21260,2021-10-24,7.0,44.0,210000.0
857702,105642,1607,812,2021-08-27,7.0,44.0,210000.0
857704,105642,1607,448,2021-08-27,7.0,44.0,210000.0
822928,101376,1607,927,2021-08-18,7.0,44.0,18500.0
889288,109558,1478,927,2021-09-06,7.0,44.0,18500.0
1241894,152290,1478,927,2021-10-27,7.0,44.0,17850.0
786090,96847,1340,927,2021-08-05,7.0,44.0,18500.0
